title,author,url,author_followers,likes,reposts,replies,posted,snapshot
An agent with a Jev model router,rileybrown,https://x.com/rileybrown/status/2100607709317861879,244870,281,10,18,2026-09-17,2026-09-19
A filter for reply-guy comments,iannuttall,https://x.com/iannuttall/status/2100888635943883244,81192,250,4,25,2026-09-18,2026-09-19
Headless Chromium agent,mormonnegro,https://x.com/mormonnegro/status/2100408498446111031,7026,213,8,12,2026-09-17,2026-09-19
Agentic browsing in Chrome,razaanstha,https://x.com/razaanstha/status/2100645675591520612,525,194,12,19,2026-09-17,2026-09-19
A prompt box that fills itself in,sawyerhood,https://x.com/sawyerhood/status/2100994779291259187,18482,193,8,21,2026-09-18,2026-09-19
A chief of staff for bots,milindlabs,https://x.com/milindlabs/status/2100515910754750741,4025,182,10,12,2026-09-17,2026-09-19
Real-time Clippy,sotak,https://x.com/sotak/status/2100701152824185319,6030,175,12,9,2026-09-17,2026-09-19
"A Slack agent, twice as fast",johnyeo_,https://x.com/johnyeo_/status/2100987661926252737,3943,148,3,17,2026-09-18,2026-09-19
Which outreach signals book demos,pierreeliottlal,https://x.com/pierreeliottlal/status/2100912453999587657,9774,113,13,12,2026-09-18,2026-09-19
DiffJury,raihankhan_rk,https://x.com/raihankhan_rk/status/2100584682664628454,3470,81,4,11,2026-09-17,2026-09-19
X timeline labeler,the_cyw,https://x.com/the_cyw/status/2101020586931875932,1199,79,3,4,2026-09-18,2026-09-19
jev-job-hunter,hqmank,https://x.com/hqmank/status/2100933183931900346,12060,75,4,8,2026-09-18,2026-09-19
700 live ads in 40 seconds,Yarilo7brigada,https://x.com/Yarilo7brigada/status/2100946657965912253,1993,59,5,25,2026-09-18,2026-09-19
Jev plays Tetris,AlanDaitch,https://x.com/AlanDaitch/status/2100438353946513815,49142,48,4,4,2026-09-17,2026-09-19
One-click invoice finder,FarouqAldori,https://x.com/FarouqAldori/status/2100711180704641520,459,43,5,9,2026-09-17,2026-09-19
Jev as an agent safety monitor,isNickMa,https://x.com/isNickMa/status/2100566407524344225,590,1,,1,2026-09-17,2026-09-19
AI slop detector,kraayenJon,https://x.com/kraayenJon/status/2101157548346794059,151,0,,,2026-09-19,2026-09-19
